,title,date,pipe_diameter,address,full_text
158,Emergency Water Main Repair - Silver Spring,"July 26, 2025",8,"2009 Blueridge Avenue, Silver Spring","Laurel, MD – July 26, 2025 - WSSC Water is repairing an 8-inch water main at 2009 Blueridge Avenue, Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
159,Emergency Water Main Repair - Silver Spring,"July 25, 2025",6,"8806 Plymouth St., Silver Spring","Laurel, MD – July 25, 2025 - WSSC Water is repairing a 6-inch water main at 8806 Plymouth St., Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
160,Emergency Water Main Repair - Silver Spring,"July 22, 2025",8,"13702 Modrad Way, Silver Spring","Laurel, MD – July 22, 2025 - WSSC Water is replacing an 8-inch water main at 13702 Modrad Way, Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
161,Emergency Water Main Repair - Upper Marlboro,"July 17, 2025",10,"12902 Midstock Lane, Upper Marlboro","Laurel, MD – July 17, 2025 - WSSC Water is repairing a 10-inch water main at 12902 Midstock Lane, Upper Marlboro. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up for affected customers at Brandywine Swimming Pool, 8833 Woodstock Drive W., Upper Marlboro.
Thank you for your patience."
162,Emergency Water Main Repair - Laurel,"July 2, 2025",24,"7306 Contee Road, Laurel","Laurel, MD – July 2, 2025 - WSSC Water is repairing a 24-inch water main at 7306 Contee Road, Laurel. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
163,Emergency Water Main Repair - Forestville,"July 12, 2025",8,"6811 Atwood Street, Forestville","Laurel, MD – July 12, 2025 - WSSC Water is repairing an 8-inch water main at 6811 Atwood Street, Forestville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
164,Emergency Water Main Repair - Laurel,"July 2, 2025",24,"7306 Contee Road, Laurel","Laurel, MD – July 2, 2025 - WSSC Water is repairing a 24-inch water main at 7306 Contee Road, Laurel. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
165,Emergency Water Main Repair - Upper Marlboro,"June 3, 2025",10,"12323-41 Chesterton Drive, Upper Marlboro","Laurel, MD – June 3, 2025 - WSSC Water is repairing a 10-inch water main at 12323-41 Chesterton Drive, Upper Marlboro. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
166,Emergency Water Main Repair - Lanham,"May 29, 2025",10,"6862 Riverdale Road, Lanham","Laurel, MD – May 29, 2025 - WSSC Water is repairing a 10-inch water main at 6862 Riverdale Road, Lanham. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
167,Emergency Water Main Repair - Lanham,"May 16, 2025",12,"6805 Storch Court, Lanham","Laurel, MD – May 16, 2025 - WSSC Water is repairing a 12-inch water main at 6805 Storch Court, Lanham. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
168,Emergency Water Main Repair - Lanham,"May 16, 2025",12,"6805 Storch Court, Lanham","Laurel, MD – May 16, 2025 - WSSC Water is repairing a 12-inch water main at 6805 Storch Court, Lanham. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
169,Emergency Water Main Repair - Chevy Chase,"May 16, 2025",6,"4740 Chevy Chase Drive, Chevy Chase","Laurel, MD – May 16, 2025 - WSSC Water is repairing a 6-inch water main at 4740 Chevy Chase Drive, Chevy Chase. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
170,Emergency Water Main Repair - Temple Hills,"May 15, 2025",12,"7624 Serenade Circle, Temple Hills","Laurel, MD – May 15, 2025 - WSSC Water is repairing a 12-inch water main at 7624 Serenade Circle, Temple Hills. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
171,Emergency Water Main Repair - Temple Hills,"April 3, 2025",14,"4705 Birchtree Lane, Temple Hills","Laurel, MD – April 3, 2025 - WSSC Water is repairing a 14-inch water main at 4705 Birchtree Lane, Temple Hills. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
172,Emergency Water Main Repair - Hyattsville,"March 10, 2025",24,"6214 Kilmer St, Hyattsville","Laurel, MD – March 10, 2025 WSSC Water is repairing a 24-inch water main at 6214 Kilmer St, Hyattsville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at 6409 Landover Rd until 10 pm tonight.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
173,Emergency Water Main Repair - Hyattsville,"March 5, 2025",8,"5609 Newton Street, Hyattsville","Laurel, MD – March 5, 2025: WSSC Water is repairing an 8-inch water main at 5609 Newton Street, Hyattsville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
174,Emergency Water Main Repair - Silver Spring,"February 26, 2025",24,"11909 Veirs Mill Road, Silver Spring","Laurel, MD – February 26, 2025: WSSC Water is repairing a 24-inch water main at 11909 Veirs Mill Road, Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is being set up at the Connecticut Belair Swim Club, 3901 Ferrara Dr, Silver Spring, MD 20906.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
175,Emergency Water Main Repair - Capitol Heights,"February 21, 2025",8,"5701 Martin L. King Highway, Capitol Heights","Laurel, MD – February 21, 2025: WSSC Water is repairing an 8-inch water main at 5701 Martin L. King Highway, Capitol Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
176,Emergency Water Main Repair - Takoma Park,"February 19, 2025",10,"531 Albany Ave, Takoma Park","Laurel, MD – February 19, 2025: WSSC Water is repairing a 10-inch water main at 531 Albany Ave, Takoma Park. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
177,Emergency Water Main Repair - Silver Spring,"February 18, 2025",12,"8412 Cedar Street, Silver Spring","Laurel, MD – February 18, 2025: WSSC Water is repairing a 12-inch water main at 8412 Cedar Street, Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
178,Emergency Water Main Repair - Suitland,"February 5, 2025",8,"2815 Sunset Lane, Suitland","Laurel, MD – February 5, 2025: WSSC Water is repairing an 8-inch water main at 2815 Sunset Lane, Suitland. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
179,Emergency Water Main Repair - Clarksburg,"February 3, 2025",3,"23800 Remae Court, Clarksburg","Laurel, MD – February 3, 2025: WSSC Water is repairing a leaking 3-inch water main at 23800 Remae Court, Clarksburg. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
180,Emergency Water Main Repair - Clinton,"January 29, 2025",10,"9300 Gwynndale Dr., Clinton","Laurel, MD – January 29, 2025: WSSC Water is repairing a 10-inch water main at 9300 Gwynndale Dr., Clinton. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
181,Emergency Water Main Repair - Oxon Hill,"January 22, 2025",8,"501-575 Wilson Bridge Drive, Oxon Hill","Laurel, MD – January 22, 2025: WSSC Water is repairing an 8-inch water main at 501-575 Wilson Bridge Drive, Oxon Hill. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
182,Emergency Water Main Repair - Brandywine,"January 22, 2025",16,"4611 Floral Park Rd., Brandywine","Laurel, MD – January 22, 2025: WSSC Water is repairing a 16-inch water main at 4611 Floral Park Rd., Brandywine. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set at 3313 Strawberry Hill Dr. in front of the Hillantrae Community Park pavilion until 9pm.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
183,Emergency Water Main Repair - Hyattsville,"January 21, 2025",8,"1914 Fox Street, Hyattsville","Laurel, MD – January 21, 2025: WSSC Water is repairing an 8-inch water main at 1914 Fox Street, Hyattsville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
184,Emergency Water Main Repair - Temple Hills,"January 21, 2025",6,"4601 Henderson Road, Temple Hills","Laurel, MD – January 21, 2025: WSSC Water is repairing a 6-inch water main at 4601 Henderson Road, Temple Hills. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
185,Emergency Water Main Repair - Landover,"January 21, 2025",12,"7000 Old Landover Road, Landover","Laurel, MD – January 21, 2025: WSSC Water is repairing a 12-inch water main at 7000 Old Landover Road, Landover. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
186,Emergency Water Main Repair - Silver Spring,"January 20, 2025",10,1825 Briggs Road in Silver Spring,"Laurel, MD – January 20, 2025: WSSC Water is repairing a 10-inch water main at 1825 Briggs Road in Silver Spring. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
187,Emergency Water Main Repair - Capitol Heights,"January 17, 2025",3,9524 Beech Park Street in Capitol Heights,"Laurel, MD – January 17, 2025: WSSC Water is repairing a 3-inch water main at 9524 Beech Park Street in Capitol Heights. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
188,Emergency Water Main Repair - Derwood,"January 16, 2025",8,17212 Olde Mill Run in Derwood,"Laurel, MD – January 16, 2025: WSSC Water is repairing an 8-inch water main at 17212 Olde Mill Run in Derwood. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
189,Emergency Water Main Repair - Bethesda,"January 16, 2025",10,5312 Tuscarawas Road in Bethesda,"Laurel, MD – January 16, 2025: WSSC Water is repairing a 10-inch water main at 5312 Tuscarawas Road in Bethesda. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
190,Emergency Water Main Repair - Hyattsville,"January 14, 2025",8,5009 40th Pl in Hyattsville,"Laurel, MD – January 14, 2025: WSSC Water is repairing an 8-inch water main at 5009 40th Pl in Hyattsville. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
191,Emergency Water Main Repair - Riverdale,"January 13, 2025",24,6709 Patterson St in Riverdale,"Laurel, MD – January 13, 2025: WSSC Water is repairing a 24-inch water main at 6709 Patterson St in Riverdale. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is setup this morning with personnel onsite until 12 noon at the rear of the building located at 6831 F Riverdale Road.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
192,Emergency Water Main Repair - Bethesda,"January 6, 2025",16,"7235 Wisconsin Avenue, Bethesda","Laurel, MD – January 6, 2025: WSSC Water is repairing a 16-inch water main at 7235 Wisconsin Avenue, Bethesda. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
193,Emergency Water Main Repair - Chillum,"February 19, 2026",6,2713 Nicholson Street in Chillum,"Laurel, MD – February 19, 2026 - WSSC Water is repairing a 6-inch water main at 2713 Nicholson Street in Chillum. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
194,Emergency Water Main Repair - Chillum,"February 17, 2026",8,"2712 Nicholson St, Chillum","Laurel, MD – February 17, 2026 - WSSC Water is repairing an 8-inch water main at 2712 Nicholson St, Chillum. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
195,Emergency Water Main Repair - Silver Spring,"February 17, 2026",30,2100 Shorefield Road in Silver Spring,"Laurel, MD – February 17, 2026 - WSSC Water is repairing a 30-inch water main at 2100 Shorefield Road in Silver Spring. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
196,Emergency Water Main Repair - Upper Marlboro,"February 13, 2026",16,"8424 Grandhaven Avenue, Upper Marlboro","Laurel, MD – February 13, 2026 - WSSC Water is repairing a 16-inch water main at 8424 Grandhaven Avenue, Upper Marlboro. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
197,Emergency Water Main Repair - Silver Spring,"February 11, 2026",30,2100 Shorefield Road in Silver Spring,"Laurel, MD – February 11, 2026 - WSSC Water is repairing a 30-inch water main at 2100 Shorefield Road in Silver Spring. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
198,Emergency Water Main Repair - Silver Spring,"February 9, 2026",30,2201-2319 Glenallan Avenue in Silver Spring,"Laurel, MD – February 9, 2026 - WSSC Water is repairing a 30-inch water main at 2201-2319 Glenallan Avenue in Silver Spring. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience.
February 10 Update: A water station will be set up at 12800 Layhill Road, at the Glenfield Local Park, at 9:30 a.m."
199,Emergency Water Main Repair - Hyattsville,"February 8, 2026",8,1901 Erie Street in Hyattsville,"Laurel, MD – February 8, 2026 - WSSC Water is repairing an 8-inch water main at 1901 Erie Street in Hyattsville. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
200,Emergency Water Main Repair - Hyattsville,"February 8, 2026",24,6807 Greenvale Parkway in Hyattsville,"Laurel, MD – February 8, 2026 - WSSC Water is repairing a 24-inch water main at 6807 Greenvale Parkway in Hyattsville. Customers in this area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station for this repair is set up at 6801 Greenvale Parkway.
Thank you for your patience."
201,Emergency Water Main Repair - Suitland,"February 8, 2026",8,3201 Sycamore Lane in Suitland,"Laurel, MD – February 8, 2026 - WSSC Water is repairing an 8-inch water main at 3201 Sycamore Lane in Suitland. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
202,Emergency Water Main Repair - Riverdale,"February 7, 2026",6,6039 67th Place in Riverdale,"Laurel, MD – February 7, 2026 - WSSC Water is repairing a 6-inch water main at 6039 67th Place in Riverdale. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
203,Emergency Water Main Repair - Laurel,"February 7, 2026",8,801 8th Street in Laurel,"Laurel, MD – February 7, 2026 - WSSC Water is repairing an 8-inch water main at 801 8th Street in Laurel. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at 801 8th Street, in front of the leasing office. 
Thank you for your patience."
204,Emergency Water Main Repair - Germantown,"February 7, 2026",8,20067 Appledowre Circle in Germantown,"Laurel, MD – February 7, 2026 - WSSC Water is repairing an 8-inch water main at 20067 Appledowre Circle in Germantown. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
205,Emergency Water Main Repair - Chevy Chase,"February 6, 2026",8,6698 Glenbrook Road in Chevy Chase,"Laurel, MD – February 6, 2026 - WSSC Water is repairing an 8-inch water main at 6698 Glenbrook Road in Chevy Chase. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
206,Emergency Water Main Repair - Riverdale,"February 6, 2026",6,6039 67th Place in Riverdale,"Laurel, MD – February 6, 2026 - WSSC Water is repairing a 6-inch water main at 6039 67th Place in Riverdale. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
207,Emergency Water Main Repair - Hyattsville,"February 6, 2026",12,7313 Landover Road in Hyattsville,"Laurel, MD – February 6, 2026 - WSSC Water is repairing a 12-inch water main at 7313 Landover Road in Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
208,Emergency Water Main Repair - Clarksburg,"February 5, 2026",12,23800 Remae Court in Clarksburg,"Laurel, MD – February 5, 2026 - WSSC Water is repairing a 12-inch water main at 23800 Remae Court in Clarksburg. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
209,Emergency Water Main Repair - Riverdale,"February 4, 2026",8,6821-41 Riverdale Road in Riverdale,"Laurel, MD – February 4, 2026 - WSSC Water is repairing an 8-inch water main at 6821-41 Riverdale Road in Riverdale. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
210,Emergency Water Main Repair - Capitol Heights,"February 2, 2026",10,6304 Foote Street in Capitol Heights,"Laurel, MD – February 2, 2026 - WSSC Water is repairing a 10-inch water main at 6304 Foote Street in Capitol Heights. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
211,Emergency Water Main Repair - Capitol Heights,"February 1, 2026",10,6304 Foote Street in Capitol Heights,"Laurel, MD – February 1, 2026 - WSSC Water is repairing a 10-inch water main at 6304 Foote Street in Capitol Heights. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
212,Emergency Water Main Repair - Upper Marlboro,"January 30, 2026",8,8823 Heathermore Boulevard in Upper Marlboro,"Laurel, MD – January 30, 2026 - WSSC Water is repairing an 8-inch water main at 8823 Heathermore Boulevard in Upper Marlboro. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
213,Emergency Water Main Repair - Mt. Rainier,"January 29, 2026",8,3517 Bunker Hill Road in Mt. Rainier,"Laurel, MD – January 29, 2026 - WSSC Water is repairing an 8-inch water main at 3517 Bunker Hill Road in Mt. Rainier. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
214,Emergency Water Main Repair - Hyattsville,"January 27, 2026",12,8011 New Hampshire Avenue in Hyattsville,"Laurel, MD – January 27, 2026 - WSSC Water is repairing a 12-inch water main at 8011 New Hampshire Avenue in Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
215,Emergency Water Main Repair - Capitol Heights,"January 24, 2026",6,"401 Eastern Ave, Capitol Heights","Laurel, MD – January 26, 2026 - WSSC Water is repairing a 6-inch water main at 401 Eastern Ave, Capitol Heights. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
216,Emergency Water Main Repair - Hyattsville,"January 24, 2026",16,5201 Newton St. in Hyattsville,"Laurel, MD – January 24, 2026 - WSSC Water is repairing a 16-inch water main at 5201 Newton St. in Hyattsville. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
217,Emergency Water Main Repair - Damascus,"January 23, 2026",10,9825 Hawkins Creamery Rd in Damascus,"Laurel, MD – January 23, 2026 - WSSC Water is repairing a 10-inch water main at 9825 Hawkins Creamery Rd in Damascus. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
218,Emergency Water Main Repair - Landover,"January 21, 2026",,,
219,Emergency Water Main Repair - Greenbelt,"January 9, 2026",14,"39-M Ridge Rd, Greenbelt","Laurel, MD – January 9, 2026 - WSSC Water is repairing a 14-inch water main at 39-M Ridge Rd, Greenbelt. Customers in the area will lose water service while the main is being fixed. Repairs will be made as quickly as possible.
Thank you for your patience."
